gvkey,datadate,tic,AP,AT,BV,COGS,EMP,IBE,OCF,PPE,REC,SALE,XOPR,MV,2_digit_sic
30354,20161231,LPT,65.914,5992.813,3003.391,423.408,0.301,356.817,333.021,,123.239,782.628,491.606,5806.2235,67
30354,20161231,LPT,65.914,5992.813,,,0.301,356.817,,0,,1004.066,,5806.2235,67
30384,20121231,FR,81.099,2608.842,878.379,217.211,0.173,-15.241,136.422,,59.159,331.706,242.314,,67
30384,20121231,FR,81.099,2608.842,,,0.173,-15.241,,0,,335.155,,,67
30384,20131231,FR,75.305,2597.51,1051.85,212.697,0.169,6.187,125.751,,62.122,330.716,235.849,,67
30384,20131231,FR,75.305,2597.51,,,0.169,6.187,,0,,331.868,,,67
30384,20141231,FR,79.733,2581.995,1048.95,219.631,0.173,22.369,137.176,,65.486,350.208,244.009,2273.9566,67
30384,20141231,FR,79.733,2581.995,,,0.173,22.369,,0,,350.125,,2273.9566,67
30384,20151231,FR,93.699,2718.051,1073.1,222.054,0.17,73.802,162.149,,67.947,365.878,248.819,2457.0275,67
30384,20151231,FR,93.699,2718.051,,,0.17,73.802,,0,,403.238,,2457.0275,67
30384,20161231,FR,84.412,2793.263,1241.441,222.113,0.161,121.232,173.335,,72.139,378.02,249.307,,67
30384,20161231,FR,84.412,2793.263,,,0.161,121.232,,0,,446.222,,,67
30385,20161231,SUPGF,1.863,75.457,20.195,,,,,59.536,1.484,,,,10
30397,20151231,HCC,13.773,802.137,-820.861,652.697,,-310.581,-131.818,1363.49,28.426,544.733,722.518,,12
30397,20161231,HCC,6.043,947.631,752.967,312.099,1.13,-111.489,-49.885,685.561,71.797,369.017,347.774,,12
30398,20121231,FALC,2.801,59.705,13.253,17.348,0.427,-14.984,-5.268,20.112,14.13,75.411,85.327,110.9336,73
30398,20131231,FALC,1.024,53.218,6.218,12.495,0.285,-10.933,-11.135,19.339,11.35,58.637,65.97,64.8432,73
30398,20141231,FALC,1.267,42.323,-10.471,8.309,0.263,-7.212,0.491,19.015,8.899,46.274,54.169,54.8382,73
30398,20151231,FALC,1.006,30.426,-11.709,7.702,0.226,-1.929,-6.323,19.514,6.635,48.571,47.702,78.334,73
30398,20161231,FALC,0.42,17.281,-21.703,6.958,0.166,-10.999,-9.423,19.756,5.004,30.263,39.051,19.7754,73
30401,20151231,NETS,64.998,281.254,72.76,255.052,2.405,-24.923,-5.833,23.874,85.336,380.291,390.259,,59
30401,20161231,NETS,103.109,342.347,38.006,365.408,2.687,-46.439,-6.411,35.45,86.169,534.717,545.863,,59
30416,20121231,HMNF,514.951,653.327,34.834,9.683,0.204,5.321,16.837,,454.045,39.254,25.493,15.357,60
30416,20121231,HMNF,,653.327,,,0.204,5.321,,,,39.254,,15.357,60
30416,20131231,HMNF,553.93,648.622,59.675,-4.592,0.195,26.67,18.992,,384.615,30.295,11.426,46.7723,60
30416,20131231,HMNF,,648.622,,,0.195,26.67,,,,30.295,,46.7723,60
30416,20141231,HMNF,496.75,577.426,66.013,-5.787,0.189,7.379,17.344,,365.113,27.897,11.236,55.428,60
